Tm,G,Cmp,Att,Yds,Sk,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr
Atlanta Falcons,16,428,617,4653,42,,202,53,48,143,21.1%,18,6.7
Buffalo Bills,16,271,499,2794,41,,184,82,49,172,29.0%,54,10.3
Carolina Panthers,16,378,563,3836,32,,167,58,36,126,20.1%,32,7.7
Chicago Bears,16,344,512,3564,33,,141,64,24,121,20.8%,38,8.6
Cincinnati Bengals,16,331,542,3290,37,,158,63,32,132,21.9%,23,7.8
Cleveland Browns,16,353,574,4007,38,,206,105,27,170,26.6%,28,9.0
Indianapolis Colts,16,432,644,4461,18,,156,51,52,121,17.7%,21,7.6
Arizona Cardinals,16,283,495,2523,52,,127,48,47,147,26.2%,15,10.2
Dallas Cowboys,16,356,527,3538,56,,169,74,49,179,29.2%,29,6.7
Denver Broncos,16,367,588,3695,34,,180,77,51,162,25.6%,12,7.7
Detroit Lions,16,375,574,3576,41,,168,57,34,132,21.0%,13,7.1
Green Bay Packers,16,392,640,4238,53,,158,95,42,190,26.0%,38,8.4
Houston Texans,16,345,506,3781,62,,163,77,59,198,31.6%,58,7.2
Jacksonville Jaguars,16,329,536,3109,53,,171,57,45,155,24.1%,55,7.1
Kansas City Chiefs,16,385,583,4955,26,,129,121,67,214,33.6%,27,7.9
Miami Dolphins,16,292,455,2900,52,,138,61,43,156,30.1%,11,8.4
Minnesota Vikings,16,425,606,4036,40,,143,97,39,176,26.5%,17,5.6
New Orleans Saints,16,381,519,4042,20,,144,48,25,93,17.0%,9,5.8
New England Patriots,16,378,574,4258,21,,108,48,39,108,18.0%,5,6.6
New York Giants,16,382,583,4047,47,,126,64,44,155,24.4%,4,4.0
New York Jets,16,299,524,3165,37,,154,77,26,140,24.1%,20,7.4
Tennessee Titans,16,293,437,2975,47,,137,69,16,132,25.5%,33,7.6
Philadelphia Eagles,16,422,599,4275,40,,163,64,47,151,23.0%,18,5.5
Pittsburgh Steelers,16,459,689,5008,24,,166,59,39,122,16.8%,14,8.1
Oakland Raiders,16,382,556,3751,52,,141,70,29,151,24.5%,8,6.4
Los Angeles Rams,16,368,568,4507,33,,152,66,34,133,21.5%,18,6.2
Baltimore Ravens,16,334,556,3558,32,,171,81,31,144,23.6%,23,6.3
Los Angeles Chargers,16,348,512,4089,34,,152,48,48,130,23.6%,6,4.3
Seattle Seahawks,16,280,427,3093,51,,145,82,31,164,32.3%,30,9.6
San Francisco 49ers,16,331,532,3867,48,,162,58,63,169,28.3%,17,5.6
Tampa Bay Buccaneers,16,408,625,5125,41,,160,67,56,164,22.6%,59,6.7
Washington Redskins,16,311,509,3021,44,,132,87,36,167,28.1%,42,6.6
