Tm,G,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp
Atlanta Falcons,16,459,684,4714,5493,8.0,3126,6.8,4.6,1588,3.5
Buffalo Bills,16,299,513,3229,4690,9.1,1982,6.6,3.9,1247,4.2
Carolina Panthers,16,382,633,3650,5275,8.3,2076,5.4,3.3,1574,4.1
Chicago Bears,16,371,580,3291,4533,7.8,2029,5.5,3.5,1262,3.4
Cincinnati Bengals,16,356,616,3652,4735,7.7,2137,6.0,3.5,1515,4.3
Cleveland Browns,16,318,539,3554,4628,8.6,2022,6.4,3.8,1532,4.8
Indianapolis Colts,16,307,513,3108,4101,8.0,1652,5.4,3.2,1456,4.7
Arizona Cardinals,16,355,554,3477,4127,7.4,1911,5.4,3.4,1566,4.4
Dallas Cowboys,16,388,597,4751,5539,9.3,2984,7.7,5.0,1767,4.6
Denver Broncos,16,312,504,3115,3483,6.9,1697,5.4,3.4,1418,4.5
Detroit Lions,16,344,571,3900,5456,9.6,2683,7.8,4.7,1217,3.5
Green Bay Packers,16,356,573,3733,5015,8.8,1994,5.6,3.5,1739,4.9
Houston Texans,16,355,534,3783,4718,8.8,2261,6.4,4.2,1522,4.3
Jacksonville Jaguars,16,364,589,3760,4344,7.4,2077,5.7,3.5,1683,4.6
Kansas City Chiefs,16,378,576,4498,4912,8.5,2453,6.5,4.3,2045,5.4
Miami Dolphins,16,371,615,3804,5419,8.8,2512,6.8,4.1,1292,3.5
Minnesota Vikings,16,319,466,3523,3539,7.6,1878,5.9,4.0,1645,5.2
New Orleans Saints,16,418,581,4244,3742,6.4,2174,5.2,3.7,2070,5.0
New England Patriots,16,378,620,3961,4676,7.5,2259,6.0,3.6,1702,4.5
New York Giants,16,376,607,3731,4889,8.1,2245,6.0,3.7,1486,4.0
New York Jets,16,323,521,3111,4065,7.8,1693,5.2,3.2,1418,4.4
Tennessee Titans,16,297,448,3582,3869,8.6,2103,7.1,4.7,1479,5.0
Philadelphia Eagles,16,391,613,3833,4906,8.0,2244,5.7,3.7,1589,4.1
Pittsburgh Steelers,16,315,510,2981,4019,7.9,1461,4.6,2.9,1520,4.8
Oakland Raiders,16,367,523,3926,3476,6.6,1970,5.4,3.8,1956,5.3
Los Angeles Rams,16,397,632,4499,4853,7.7,2393,6.0,3.8,2106,5.3
Baltimore Ravens,16,289,440,3225,3822,8.7,1903,6.6,4.3,1322,4.6
Los Angeles Chargers,16,394,597,4426,5057,8.5,2444,6.2,4.1,1982,5.0
Seattle Seahawks,16,341,517,3791,4869,9.4,2402,7.0,4.6,1389,4.1
San Francisco 49ers,16,331,478,3792,3124,6.5,1837,5.5,3.8,1955,5.9
Tampa Bay Buccaneers,16,382,630,4845,6498,10.3,3254,8.5,5.2,1591,4.2
Washington Redskins,16,298,479,2812,3639,7.6,1751,5.9,3.7,1061,3.6
