Year_Off,Rk_Off,Tm_Off,Win_Off,Loss_Off,G_Off,PF_Off,Total Yds_Off,Plays_Off,Y/P_Off,TO_Off,FL_Off,1stD_Off,Cmp_Off,Pass Att_Off,Pass Yds_Off,Pass TD_Off,Int_Off,Pass NY/A_Off,Pass 1stD_Off,Rush Att_Off,Rush Yds_Off,Rush TD_Off,Rush Y/A_Off,Rush 1stD_Off,Pen_Off,Pen Yds_Off,1stPy_Off,Sc%_Off,TO%_Off,EXP_Off
2016,1,Atlanta Falcons,11,5,16,540,6653,995,6.7,11,4,379,374,537,4725,38,7,8.2,239,421,1928,20,4.6,108,104,848,32,52.6,6.3,212.07
2016,2,New Orleans Saints,7,9,16,469,6816,1105,6.2,24,9,395,472,674,5074,38,15,7.2,265,404,1742,17,4.3,105,107,969,25,45.9,12.7,76.86
2016,3,New England Patriots,14,2,16,441,6180,1056,5.9,11,9,351,368,550,4308,32,2,7.5,203,482,1872,19,3.9,109,93,819,39,42.9,4.9,113.38
2016,4,Green Bay Packers,10,6,16,432,5900,1029,5.7,17,9,349,403,620,4199,40,8,6.4,222,374,1701,11,4.5,91,100,827,36,43.8,9.1,115.16
2016,5,Dallas Cowboys,13,3,16,421,6027,1010,6,15,9,358,325,483,3631,25,6,7.1,191,499,2396,24,4.8,142,105,879,25,43.9,8.7,86.3
2016,6,Arizona Cardinals,7,8,16,418,5868,1086,5.4,28,11,368,383,646,4136,28,17,6,229,399,1732,20,4.3,97,104,889,42,35,14.2,-25.79
2016,7,Oakland Raiders,12,4,16,416,5973,1048,5.7,14,7,333,379,596,4051,29,7,6.6,198,434,1922,17,4.4,98,147,1247,37,38.7,7.2,-24.48
2016,8,Indianapolis Colts,8,8,16,411,5830,1037,5.6,22,7,351,370,584,4202,32,15,6.7,220,409,1628,13,4,93,103,883,38,40.6,12.2,68.23
2016,9,San Diego Chargers,5,11,16,410,5708,1014,5.6,35,14,340,349,580,4198,33,21,6.8,214,398,1510,10,3.8,90,107,780,36,38.1,18.2,-29.1
2016,10,Buffalo Bills,7,9,16,399,5666,1012,5.6,12,5,328,286,474,3036,17,7,5.8,155,492,2630,29,5.3,146,112,960,27,36.7,6.8,60.85
2016,11,Pittsburgh Steelers,11,5,16,399,5962,1026,5.8,18,3,336,381,596,4202,33,15,6.8,210,409,1760,13,4.3,97,112,1068,29,38.5,9.9,-22.48
2016,12,Washington Redskins,8,7,16,396,6454,1009,6.4,21,9,345,407,607,4758,25,12,7.6,226,379,1696,17,4.5,89,110,909,30,43.4,11.4,105.24
2016,13,Kansas City Chiefs,12,4,16,389,5488,990,5.5,17,9,305,365,546,3740,19,8,6.5,197,412,1748,15,4.2,86,109,848,22,37.1,9,-23.04
2016,14,Tennessee Titans,9,7,16,381,5728,1008,5.7,18,7,322,307,504,3541,29,11,6.7,175,476,2187,16,4.6,115,110,1012,32,36.4,9.8,-10
2016,15,Carolina Panthers,6,10,16,369,5499,1052,5.2,29,10,318,306,563,3685,21,19,6.2,194,453,1814,16,4,99,98,835,25,34.7,14,-81.23
2016,16,Philadelphia Eagles,7,9,16,367,5398,1080,5,20,6,333,380,609,3585,16,14,5.6,192,438,1813,16,4.1,114,113,945,27,37.6,11.2,-45.33
2016,17,Miami Dolphins,10,6,16,363,5324,913,5.8,23,8,278,316,477,3500,27,15,6.9,167,406,1824,14,4.5,90,125,1142,21,30.7,11.1,-48.39
2016,18,Seattle Seahawks,10,5,16,354,5715,1012,5.6,18,6,313,368,567,4124,23,12,6.8,203,403,1591,13,3.9,85,117,970,25,37.3,9.7,-11.48
2016,19,Tampa Bay Buccaneers,9,7,16,354,5542,1066,5.2,27,9,340,355,578,3926,29,18,6.4,220,453,1616,8,3.6,80,109,926,40,32.4,14.8,-33.29
2016,20,Detroit Lions,9,7,16,346,5421,981,5.5,15,5,329,388,594,4111,24,10,6.5,217,350,1310,9,3.7,76,100,861,36,41,9,30.86
2016,21,Baltimore Ravens,8,8,16,343,5563,1079,5.2,23,7,316,439,679,4100,20,16,5.8,205,367,1463,10,4,79,125,1111,32,35.6,10.5,-86.39
2016,22,Denver Broncos,9,7,16,333,5169,1020,5.1,25,14,290,339,570,3685,20,11,6,181,410,1484,11,3.6,76,119,985,33,30.3,11.6,-94.99
2016,23,Minnesota Vikings,8,8,16,327,5041,1006,5,16,11,303,414,588,3836,20,5,6.1,209,380,1205,9,3.2,66,103,882,28,32.8,7.5,-60.91
2016,24,Cincinnati Bengals,6,9,16,325,5711,1050,5.4,17,9,341,364,563,3942,18,8,6.5,204,446,1769,17,4,100,88,726,37,35.8,8.5,30.41
2016,25,Jacksonville Jaguars,3,13,16,318,5359,1052,5.1,29,13,321,369,626,3728,24,16,5.6,207,392,1631,8,4.2,75,129,1187,39,31.4,13.6,-67.5
2016,26,New York Giants,11,5,16,310,5291,1018,5.2,27,11,289,377,598,3879,26,16,6.3,190,398,1412,6,3.5,73,88,857,26,27.5,13,-74.19
2016,27,San Francisco 49ers,2,14,16,309,4930,996,4.9,25,15,287,287,491,2911,21,10,5.4,152,458,2019,15,4.4,116,99,831,19,27.4,10.7,-75.71
